name,price,num_reviews,per_cnt_price,url,timestamp
"Designer Cotton Reusable Face Mask - Protective Fabric Face Cover Piece Set, Washable & Breathable Mouth Mask (4)",22.99,3,($5.75/Item),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01977693TMZCVWOA9CZJ&url=%2FDesigner-Cotton-Reusable-Face-Mask%2Fdp%2FB08BJFZMPP%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-18-spons%26psc%3D1&qualifier=1594841003&id=8118751811044430&widgetName=sp_mtf,2020-07-15 15:23:27
"Pure Cotton Reusable Face Mask - Protective Fabric Face Cover 3 Piece Set, Washable & Breathable Mouth Mask (Black,White,Blue)",11.99,101,($4.00/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A1024196200P6GEZBRL6W&url=%2FPure-Cotton-Reusable-Face-Mask%2Fdp%2FB088THXCXJ%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-19-spons%26psc%3D1&qualifier=1594841003&id=8118751811044430&widgetName=sp_mtf,2020-07-15 15:23:27
"3ply Disposable Face Mask, 50 Count",29.99,278,($0.60/Count),https://amazon.com//3ply-Disposable-Face-Mask-Count/dp/B08852WYM2/ref=sr_1_20?dchild=1&keywords=Masks&qid=1594841003&sr=8-20,2020-07-15 15:23:27
"5 Pack Fashion Protective, Unisex Black Dust Cotton, Reusable Cotton Fabric",19.88,420,($3.98/Count),https://amazon.com//Fashion-Protective-Unisex-Cotton-Reusable/dp/B088K63VYJ/ref=sr_1_21?dchild=1&keywords=Masks&qid=1594841003&sr=8-21,2020-07-15 15:23:27
"Disposable Face Mask, Pack of 50, New Packaging",29.99,186,($0.60/Count),https://amazon.com//Disposable-Face-Mask-Pack-Packaging/dp/B088GKG1RN/ref=sr_1_22?dchild=1&keywords=Masks&qid=1594841003&sr=8-22,2020-07-15 15:23:27
"MSAAEX Disposable Face Mask for Air Pollution, Dustproof Mouth Cover, 3-ply Safety Mask (50)",19.88,255,($0.40/Count),https://amazon.com//MSAAEX-Disposable-Pollution-Dustproof-Safety/dp/B087X9RZTD/ref=sr_1_23?dchild=1&keywords=Masks&qid=1594841003&sr=8-23,2020-07-15 15:23:27
"Single Use Disposable Face Mask (Pack of 50), Blue",29.99,933,($0.60/Item),https://amazon.com//Single-Disposable-Face-Mask-Pack/dp/B086T638CS/ref=sr_1_24?dchild=1&keywords=Masks&qid=1594841003&sr=8-24,2020-07-15 15:23:27
Reusable Cotton Face Mask (Pack of 50),30.99,"1,377",-,https://amazon.com//Reusable-Cotton-Face-Mask-Pack/dp/B086WC1LDD/ref=sr_1_25?dchild=1&keywords=Masks&qid=1594841003&sr=8-25,2020-07-15 15:23:27
iHeartRaves Seamless Face Cover Mouth Mask Scarf Bandanas Neck Gaiter - Dust & UV Sun-Protection for Festivals and Outdoors,12.95,169,-,https://amazon.com//iHeartRaves-Star-Search-Seamless-Bandana/dp/B07B6963P6/ref=sr_1_26?dchild=1&keywords=Masks&qid=1594841003&sr=8-26,2020-07-15 15:23:27
"Disposable Masks, AXHKIO Disposable Breathable 3 Ply Mask, with Elastic Earloops (50 Pcs)",25.99,46,($0.52/Count),https://amazon.com//Disposable-AXHKIO-Breathable-Elastic-Earloops/dp/B0897QFZ1R/ref=sr_1_27?dchild=1&keywords=Masks&qid=1594841003&sr=8-27,2020-07-15 15:23:27
The Mask,14.99,"2,645",-,https://amazon.com//Mask-Jim-Carrey/dp/B008UCCKSU/ref=sr_1_28?dchild=1&keywords=Masks&qid=1594841003&sr=8-28,2020-07-15 15:23:27
"Dust mask with Filter,Sports Face Mask, 4 Filters and 2 Valves Included,Men's and Women's Universal Masks,Suitable for Woodworking, Outdoor Activities",24.99,26,($29.75/100 g),https://amazon.com//Included-Universal-Suitable-Woodworking-Activities/dp/B08738MMY9/ref=sr_1_29?dchild=1&keywords=Masks&qid=1594841003&sr=8-29,2020-07-15 15:23:27
INTO THE AM Seamless Face Cover Mouth Mask Scarf Bandanas Neck Gaiter - Dust & UV Sun-Protection for Festivals and Outdoors,12.95,257,-,https://amazon.com//INTO-AM-Matter-Seamless-Bandana/dp/B07B67XGS7/ref=sr_1_30?dchild=1&keywords=Masks&qid=1594841003&sr=8-30,2020-07-15 15:23:27
[Pack of 10] [CARE ON] 4-Layers ::KF94 Certified:: Face Safety Mask with Ear Loop for Adult [Individually Packaged] Comfortable & Better Protection from Fine Dust [Made in KOREA],39.99,6,($4.00/Count),https://amazon.com//Pack-CARE-4-Layers-Individually-Comfortable/dp/B08BJF9ZG4/ref=sr_1_31?dchild=1&keywords=Masks&qid=1594841003&sr=8-31,2020-07-15 15:23:27
"Cover for Outdoor, Sports Fashion Protection, Neutral Black dustproof Cotton, Washable, Reusable Cotton Fabric",34.95,105,($34.95/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03484353JKJGARP4IZ6S&url=%2FOutdoor-Protection-dustproof-Washable-Reusable%2Fdp%2FB088LDVPHX%2Fref%3Dsr_1_32_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-32-spons%26psc%3D1&qualifier=1594841003&id=8118751811044430&widgetName=sp_mtf,2020-07-15 15:23:27
"4pcsDust_mask Reusable Respirators Unisex Mouth_mask Adjustable for Allergies Woodworking,Cycling, Running,Outdoor Sports, Reusable Washable",10.99,0,($10.99/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05175531IXOVWWH4FKWJ&url=%2F4pcsDust_mask-Respirators-Mouth_mask-Adjustable-Woodworking%2Fdp%2FB08C5HZFCW%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-33-spons%26psc%3D1&qualifier=1594841003&id=8118751811044430&widgetName=sp_mtf,2020-07-15 15:23:27
"3 Pack Unisex Reusable Pleated Fabric Face Mask with Adjustable Elastic, 2 Layer, Washable, Nose Wire (Size OS, 3 Pack)",17.49,39,($5.83/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0407287303F0LY118TNF&url=%2FReusable-Pleated-Adjustable-Elastic-Washable%2Fdp%2FB089T5Z342%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-34-spons%26psc%3D1&qualifier=1594841003&id=8118751811044430&widgetName=sp_mtf,2020-07-15 15:23:27
